|Date received|Product|Sub-product|Issue|Sub-issue|Consumer complaint narrative|Company public response|Company|State|ZIP code|Tags|Consumer consent provided?|Submitted via|Date sent to company|Company response to consumer|Timely response?|Consumer disputed?|Complaint ID
61|07/20/22|Credit reporting, credit repair services, or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|"In accordance with the Fair Credit Reporting act XXXX  Accounts # XXXX Bank XXXX {$11000.00} closed XX/XX/XXXX XXXX XXXXXXXX XXXX XXXXXXXX, {$9000.00} closed XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX, {$3800.00} XXXX XXXX XXXX XXXX {$0.00}. Showing 90 days late XX/XX/XXXXXXXX XXXX XXXX XXXXXXXX {$15000.00} closed XX/XX/XXXX XXXX charge off # XXXX closed XX/XX/XXXX XXXX charge off # XXXX {$170.00} XXXX XXXX XXXX {$16000.00} XX/XX/XXXX has violated my rights. 

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|TX|77449||Consent provided|Web|07/20/22|Closed with non-monetary relief|Yes||5790688
62|10/09/22|Credit reporting, credit repair services, or other personal consumer reports|Credit reporting|Improper use of your report|Credit inquiries on your report that you don't recognize|My name is XXXX XXXX this complaint is not made in error neither is it being made by a third party.I declare under penalty of perjury I am alleging that a person or company- without my authorization- from unauthorized use of my social security number and card used my personal identifying information to apply for goods, services, or money ; and, was successful in creating some accounts. I have no knowledge of this and All is being investigated by the FTC.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|FL|34638||Consent provided|Web|10/09/22|Closed with non-monetary relief|Yes||6067450
63|11/11/22|Credit card or prepaid card|General-purpose credit card or charge card|Closing your account|Company closed your account|On XXXX XX/XX/2022 I called Navy Federal Credit Union to be informed that my credit card was cancelled despite my honoring the payment arrangement. They closed it without notifying me in any capacity. Further, upon realizing error the woman I spoke to on the phone was nothing less than vicious in her demeanor and refused to provide any assistance. When I asked her to refer to the previous calls to verify the payment arrangements she chuckled and said oh no I aint got access to that, thats only some other people.|Company believes it acted appropriately as authorized by contract or law|NAVY FEDERAL CREDIT UNION|TX|77901|Servicemember|Consent provided|Web|11/11/22|Closed with explanation|Yes||6188162
64|05/14/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Was not notified of investigation status or results|"The bureaus have informed me that they received my information and dispute letter, but refused to investigate further, claiming I used a credit repair company. Ive been repeatedly dismissed by the bureaus for months, and its becoming extremely frustrating. 
As a consumer, my rights are being violated, and Im left wondering how Im supposed to defend myself when the same issue keeps happening over and over."||EQUIFAX, INC.|TX|77388||Consent provided|Web|05/14/25|Closed with non-monetary relief|Yes||13517436
65|07/07/25|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|"I was utterly shocked and devastated upon discovering unauthorized accounts, credit inquiries and inaccurate personal information made or reported without my knowledge or consent. Despite my efforts to seek clarification from the creditors, they have shamefully failed to provide the necessary information. I demand immediate action and transparency from the creditors. The creditors must provide detailed information on each account and inquiry, including dates, purposes, and types of credit products involved, furnish relevant application documents, and present evidence of explicit authorization for each inquiry. 

Please see the attached file for what I am complaining about! I have attached a copy of my government issued ID as well as mail showing proof of address. So, there shouldnt be any confusion or stall tactics on your end. I have maintained a careful record of my communications with you for the purpose of filing a complaint with the FTC should you continue in your non-compliance."||EQUIFAX, INC.|NC|27617||Consent provided|Web|07/07/25|Closed with non-monetary relief|Yes||14485446
66|01/07/25|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Credit inquiries on your report that you don't recognize|I need your assistance with this incorrect account showing up on my credit report. This issue has severely impacted my reputation, and Im asking for your help. Your mishandling of my credit report has brought me to a difficult situation, and the incorrect information has caused significant harm to my reputation. It's essential that you remove these mistakes so I can peacefully live with my family.||EQUIFAX, INC.|FL|33324||Consent provided|Web|01/07/25|Closed with non-monetary relief|Yes||11394771
67|09/16/23|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|"I am writing to file a formal complaint regarding my repeated and unsuccessful attempts to correct inaccurate late open accounts and public records on my credit report. Despite my diligent efforts, these inaccuracies persist, causing significant damage to my creditworthiness. 

The issues I am disputing are as follows : XXXX XXXX XXXX Balance Owed : {$2100.00} ; XXXX XXXX XXXXXXXX Balance Owed : {$1000.00} ; XXXX XXXX Bankruptcy Reference # : XXXX. 

I have taken the following actions to address these issues : I initiated my initial dispute with your bureau, providing all the necessary documentation to support my claims, including evidence of the inaccuracies related to late open accounts and public records. 

Subsequently, I followed up to inquire about the progress of my dispute and request updates on the investigation. 

Regrettably, the inaccurate late open accounts and public records remain on my credit report, negatively impacting my creditworthiness. 

The Fair Credit Reporting Act ( FCRA ) mandates the accurate reporting of consumer credit information. It is imperative that my credit report reflects my financial history accurately and does not contain any inaccuracies that could harm my financial standing. 

I kindly request that you investigate and rectify these issues promptly by removing the inaccurate late open accounts and public records from my credit report. Timely resolution of this matter is vital for my financial well-being. 

Please provide a written response within 30 days of receiving this letter, as mandated by the FCRA, outlining the steps you have taken to address these issues and any changes made to my credit report. Failure to address these issues within the specified time frame may lead me to escalate my complaint to regulatory authorities and seek legal remedies.

Enclosed with this letter are copies of the relevant documents, including my credit report with the inaccuracies highlighted and proof of previous dispute attempts and communications."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|GA|30144||Consent provided|Web|09/16/23|Closed with explanation|Yes||7558724
68|10/01/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"The Fair Credit Reporting Act ( 15 U.S. Code 1681 ) says ( 1 ) The banking system is dependent upon fair and accurate credit reporting. Inaccurate credit reports directly impair the efficiency of the banking system, and unfair credit reporting methods undermine the public confidence which is essential to the continued functioning of the banking system.

So whenever there is a violation under the FCRA, it impairs the efficiency of the banking system. This is a violation of my privacy with my consumer report, since I control what is listed and what is not. In the event that any accounts are reported without my written consent, that is considered identity theft.

This is a violation of both 15 U.S. Code 1681b ( 2 ) and 15 U.S. Code 1681c-2. This leads way to civil liability against the credit reporting agency for negligent and willful noncompliance under 15 U.S. Code 1681n, which allows for {$1000.00} per violation, for account listed without my expressed written consent."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|TX|75154||Consent provided|Web|10/01/25|Closed with explanation|Yes||16283902
69|07/30/24|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I want to stress that I did not authorize these accounts, and their existence is causing me significant distress. I respectfully request that you prioritize this issue, conduct a thorough investigation, and promptly remove these unauthorized accounts from my credit report. Your immediate attention and resolution of this matter are highly valued.||EQUIFAX, INC.|IL|60620||Consent provided|Web|07/30/24|Closed with explanation|Yes||9663338
70|04/12/24|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Credit inquiries on your report that you don't recognize|I LOST my wallet along with my SSN card long ago. I am a victim of identity theft I have obtained a copy of my credit report with XXXX XXXX and there are multiple accounts reporting to my credit profile that are fraudulent. I have also found out that the account listed below are not connected to my current address. The information listed in this letter, which is reporting to my credit does not relate to any transaction ( s ) that I have made. It is the result of identity Theft.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|MD|20772||Consent provided|Web|04/12/24|Closed with non-monetary relief|Yes||8758605
71|11/10/23|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|I'm really not sure what happened. I have mailed off letters to the credit bureaus continuously and thus far I have not gotten a response. My name is XXXX XXXX XXXX and I am filing this complaint for falsely reporting misleading information. There is no third party involved. Please review the uploaded letters.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|PA|15001||Consent provided|Web|11/10/23|Closed with explanation|Yes||7835683
72|01/18/25|Checking or savings account|Savings account|Managing an account|Banking errors|Capital one bought XXXX which was a high yield savings. They changed my account to a XXXX savings through capital one and I just found out they lied and kept the interest rates low and made a performance XXXX savings account but did not notify me about this change. Due to this I missed out on a lot of interest. I know there's a lawsuit now. I am hoping to get some interest back. Since I found out I did close my XXXX savings and opened a performance XXXX savings||CAPITAL ONE FINANCIAL CORPORATION|NY|119XX||Consent provided|Web|01/18/25|Closed with explanation|Yes||11641693
73|04/08/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I value your help to REMOVED a portion of the data on my credit file that came about because of a FRAUD yet I have an Accounts passed on that should be taken out or remove. I've proactively remembered this report for a past letter and I am including it once more. I've educated my lawyer regarding my aims and they are eager to consider you responsible for your tenacious rebelliousness.||EQUIFAX, INC.|CA|90802||Consent provided|Web|04/08/25|Closed with explanation|Yes||12853470
74|02/12/25|Money transfer, virtual currency, or money service|Domestic (US) money transfer|Other transaction problem||I am writing to formally express my concerns regarding Zelles handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tracking these transactions was unfeasible. The CFPBs findings indicate that Zelle has not boy neglected to protect consumers but has also allowed repeated offenders to exploit the system, leaving users vulnerable to scams. The lacks of accountability and transparency is unacceptable and raises serious concerns about consumers safety.||Early Warning Services, LLC|IL|60653||Consent provided|Web|02/12/25|Closed with explanation|Yes||12050338
75|01/27/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681.

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate."||EQUIFAX, INC.|MS|395XX||Consent provided|Web|01/27/25|Closed with non-monetary relief|Yes||11798149
76|11/26/23|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Account information incorrect|I have found some accounts on my report that I do not recognize, and I would like to get them removed if they can not be verified.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|FL|33023||Consent provided|Web|11/26/23|Closed with non-monetary relief|Yes||7906743
77|11/24/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I have no relation to these accounts and request their deletion within the required 15 days under FCRA rules.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|TX|77088||Consent provided|Web|11/24/25|Closed with non-monetary relief|Yes||17482471
78|03/25/24|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I am a victim of identity theft please remove this fraud inquiry from my credit report.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|GA|30024||Consent provided|Web|03/25/24|Closed with non-monetary relief|Yes||8616755
79|11/24/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|"I am distressed to inform you that you have included inaccurate information in my credit profile and have failed to maintain reasonable procedures in your operations to ensure maximum possible accuracy in the credit reports you publish. Credit reporting laws require that bureaus report only 100 % accurate credit information. YOU ARE VIOLATING FCRA REGULATIONS AND UNITED STATES FEDERAL LAW.

Please block and remove all erroneous information from my credit report and send me an updated copy.

Under the Fair Credit Reporting Act ( FCRA ), this disputed item may not appear on my credit report if it can not be supported by any evidence.

15 U.S. Code 1681n - Civil Liability for Willful Noncompliance, 15 U.S. Code 1681o - Civil Liability for Negligent Noncompliance, and 15 U.S. Code 1692k - Civil Liability : I am entitled to monetary compensation due to your multiple violations. Specifically, under FCRA 15 U.S.C. 1681i ( 6 ) ( Notice of Results of Reinvestigation ), a consumer reporting agency must provide written notice to a consumer of the results of a reinvestigation within 5 business days of completion. Failure to do so constitutes a violation of my rights.

Additionally, as per FCRA, a "" consumer report '' excludes any report solely detailing transactions or interactions between the consumer and the reporting entity. Including late payments or derogatory statuses constitutes an infringement of 15 U.S.C. 1681a ( d ) ( 1 ).

Accounts listed below in green color highlighted and tag as in violation under 15 U.S. Code 1666 ( b ) billing error are inaccurate late payment history, must be updated to paid on time as never been late as agreed.

( 4 ) The creditors failure to properly reflect a payment made by the obligor or a credit issued to the obligor.

( 5 ) A computation error or similar error in the creditors accounting on a statement.

This is a clear violation of the United States Code Law ( TILA, 15 U.S. Code 1666 ( b ) ). These accounts must be updated to reflect "" paid on time. '' Any continuation of providing negative information required by section FCRA 605B ( 15 U.S.C. 1681c-2 ) And Accounts listed below in yellow color highlight text accounts in status of Charge off that is tag FDCPA Section 807 Violation Misleading False Reporting together with incorrect personal information Must be deleted Immediately!.

Collection Accounts listed below in yellow color highlighted that is tag as in violation Under 15 U.S. Code 1681b Permissible purposes of consumer reports i never gave you any written consent to report anything on my consumer report no consent is a violation of US Law. Instruction : As a consumer by law this account must be deleted immediately!

Items listed below that is tag as Unauthorize inquiries that's Violated the United States Code Law 15 U.S.C. 1681 ( c ) ( 1 ) ( A ) ( B ) ( i ) ( 3 ) FURNISHING reports in connection with credit or insurance transactions that are not initiated by consumer. Must be deleted in my credit report.

Please update my credit report as per law abiding accuracy of data.

Please make all listed below update or deleted in my credit report!"||EQUIFAX, INC.|NY|11214||Consent provided|Web|11/24/25|Closed with explanation|Yes||17483953
80|05/03/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|"This account was charged off XX/XX/year>. Since then, the account has repeatedly, been updated as charged off every month. This is updating the payment history. A charged off account should not include an active payment history. This inaccurate information. It manipulates the statutes of limitations. Your failure XXXX investigate this account properly after I ask you XXXX do so multiple times has violated my rights. I am demanding a deletion of this account. 

Account XXXX : XXXX XXXX XXXX Account # : XXXX"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|GA|30228||Consent provided|Web|05/03/25|Closed with non-monetary relief|Yes||13322591
81|12/08/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I am disputing these accounts because I never opened them, nor did I authorize anyone else to do so. Please review the details thoroughly and proceed with their removal. Documentation is provided for clarification.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|CA|92509||Consent provided|Web|12/08/25|Closed with non-monetary relief|Yes||17833945
82|04/28/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"The Fair Credit Reporting Act ( 15 U.S. Code 1681 ) says ( 1 ) The banking system is dependent upon fair and accurate credit reporting. Inaccurate credit reports directly impair the efficiency of the banking system, and unfair credit reporting methods undermine the public confidence which is essential to the continued functioning of the banking system. 

So whenever there is a violation under the FCRA, it impairs the efficiency of the banking system. This is a violation of my privacy with my consumer report, since I control what is listed and what is not. In the event that any accounts are reported without my written consent, that is considered identity theft. 

This is a violation of both 15 U.S. Code 1681b ( 2 ) and 15 U.S. Code 1681c-2. This leads way to civil liability against the credit reporting agency for negligent and willful noncompliance under 15 U.S. Code 1681n, which allows for {$1000.00} per violation, for account listed without my expressed written consent."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|TX|76123||Consent provided|Web|04/28/25|Closed with explanation|Yes||13207452
83|03/14/22|Student loan|Private student loan|Getting a loan|Fraudulent loan|"I never opened an account with this creditor. Nor have they supplied me with proof that i opened the loan. i've sent them an FTC and police report and both have been rejected, why? i have no idea. i sent everything i was supposed to submit still no answer. 
The account opened was opened due to identity theft. I've also sent the company a FTC report along with a police report but they still have yet to block the information off of my credit file and report.Now i have filed a federal complaint and this account is now in litigation. I have not supplied proof under the doctrine of estoppel by silence. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. I presume that no proof of the alleged debt, nor therefore any such debt, in fact therefore exists."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|TN|38017||Consent provided|Web|03/14/22|Closed with non-monetary relief|Yes||5321946
84|03/09/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information is missing that should be on the report|I called the company & I keep being hung up on on multiple occasions|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|PA|19131||Consent provided|Web|03/09/25|Closed with explanation|Yes||12389928
85|09/27/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|"FCRA Method of Verification Letter XXXX XXXX XXXX XXXX XXXX XXXX Ga XXXX XX/XX/XXXX Equifax Information Services LLC XXXX. XXXX XXXX XXXX, GA XXXX Request for Method of Verification under FCRA XXXX  XXXX XXXX Account XXXX XXXX XXXX XXXX To Whom It May Concern, I am writing to formally request the Method of Verification used to confirm the accuracy of the account listed on my Equifax credit report with the last four digits XXXX. I recently disputed this account, and I have received a response indicating that it has been "" verified '' as accurate. 
Under the Fair Credit Reporting Act ( FCRA ), Section 611 ( a ) ( 7 ), I am entitled to a detailed description of how the information was verified. Therefore, I am requesting the following information : 1. The name, address, and contact information of the party or data furnisher who verified the account.

2. A detailed explanation of the method used to verify the account, including whether it was done via e-OSCAR or another automated system.

3. Any documents, records, or communications that were used in the verification process.

If you are unable to provide this information, or if the data furnisher can not verify the account with proper documentation, I demand that the account be immediately removed from my credit file in accordance with the FCRA. 

Please consider this a formal request under my rights as a consumer, and respond to this request within XXXX business days as required by federal law. 

Sincerely, XXXX XXXX XX/XX/XXXX"||EQUIFAX, INC.|GA|31525||Consent provided|Web|09/27/25|Closed with explanation|Yes||16221376
86|10/09/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you, the Experian credit reporting agency, block information appearing on my consumer credit report that is the result of identity theft and fraud within XXXX business days of you receiving this complaint. This fraudulent, inaccurate, and false information consists of XXXX XXXX XXXX XXXX XXXX XXXX  Section 807 Violation Misleading- Investigate and make sure everything is correct if not delete it from my credit report. This agency is in violation of 15 U.S.C. 1692g. They were to notify me of this in writing XXXX days prior, I was not As the original creditor, only I can validate this debt. I do not validate debt XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Section 807 Violation Misleading- Investigate and make sure everything is correct if not delete it from my credit report. This agency is in violation of 15 U.S.C. 1692g. They were to notify me of this in writing XXXX days prior, I was not As the original creditor, only I can validate this debt. I do not validate debt XXXX XXXX XXXX XXXX XXXX XXXX Section 807 Violation Misleading- Investigate and make sure everything is correct if not delete it from my credit report. This agency is in violation of 15 U.S.C. 1692g. They were to notify me of this in writing XXXX days prior, I was not As the original creditor, only I can validate this debt. I do not validate debt XXXX XXXX XXXX XXXX XXXX XXXX XXXX Section 807 Violation Misleading- Investigate and make sure everything is correct if not delete it from my credit report. This agency is in violation of 15 U.S.C. 1692g. They were to notify me of this in writing 5 days prior, I was not As the original creditor, only I can validate this debt. I do not validate debt XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Section 807 Violation Misleading- Investigate and make sure everything is correct if not delete it from my credit report. This agency is in violation of 15 U.S.C. 1692g. They were to notify me of this in writing 5 days prior, I was not As the original creditor, only I can validate this debt. I do not validate debt XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Section 807 Violation Misleading- Investigate and make sure everything is correct if not delete it from my credit report. This agency is in violation of 15 U.S.C. 1692g. They were to notify me of this in writing 5 days prior, I was not As the original creditor, only I can validate this debt. I do not validate debt These accounts have resulted in several fraudulent hard inquiries and fraudulent collections appearing on my consumer XXXX credit report. All of the aforementioned accounts, collections, and hard inquiries are the result of identity theft and fraud. I have attached a copy of FTC Identity Theft Criminal Complaint XXXX as proof from the XXXX Federal Trade Commission that all of the aforementioned consumer credit accounts, collections, and hard inquiries are the result of identity theft and fraud.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|NJ|08104||Consent provided|Web|10/09/25|Closed with explanation|Yes||16467632
87|11/17/25|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|Please remove the fraudulent and suspicious accounts from my credit report, as outlined in the attached documents.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|CA|92392||Consent provided|Web|11/17/25|Closed with non-monetary relief|Yes||17307356
88|03/31/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|ALL REPORTED DATA MUST BE COMPLETE, CORRECT, AND PROVEN IF CHALLENGED. I DO NOT GRANT YOUR AUTHORITY TO REPORT VERSUS ME WITHOUT ADEQUATE COMPLIANCE OF STATE AND FEDERAL LAWS BEING APPLICABLE THROUGHOUT. AS SUCH I DEMAND DELETION IMMEDIATELY OF YOUR DECLARED CLAIMS AGAINST ME. PER COMMON LAW, YOU ARE DEMANDED TO DEMONSTRATE THAT YOU CAN AND HAVE WILLINGNESS TO ABSOLUTELY VERIFY AND VALIDATE ( OR JUST SAY ''CERTIFICATE '' ) EVERY AND ONE EVEN EACH ANY AND OR ALL ALLEGATIONS YET PHYSICALLY DEFICIENT OR ALL ALLEGATIONS YET PHYSICALLY DEFICIENT OR UNPROVEN MINE, CHALLENGEDORNOT.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|AR|71603||Consent provided|Web|03/31/25|Closed with explanation|Yes||12736625
89|04/08/25|Debt collection|Credit card debt|Took or threatened to take negative or legal action|Collected or attempted to collect exempt funds|"The AAFES Military Star Card account in question has been assigned to XXXX XXXX XXXX ( XXXX ) for collection. I have made multiple good-faith attempts to communicate with both AAFES and XXXX regarding the resolution and accuracy of this account. 

XXXX XXXX has explicitly stated that only AAFES is authorized to negotiate, validate, or settle the debt, while AAFES has refused to engage or take any action until after XX/XX/year> per TSI. This has created a deadlock in violation of federal consumer protection laws, where neither party is accepting responsibility for debt resolution, correction, or validation.

Additionally, the information being reported to the credit bureaus by AAFES and/or XXXX appears to be materially inaccurate, including discrepancies in balances, charge-off dates, and payment history. These errors have not been corrected despite disputes and repeated requests, which constitutes a violation of the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681s-2 ( b ), and failure to conduct a reasonable investigation.

No proper validation of the debt has been provided as required under the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692g, and credit reporting continues despite these unresolved disputes. 

The ongoing refusal to negotiate or correct reporting errors, combined with misleading and contradictory responses from AAFES and XXXX, demonstrates a lack of good faith and potential violations of the FDCPA, FCRA, and XXXX XXXX compliance standards."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Army and Air Force Exchange Service|FL|32168|Servicemember|Consent provided|Web|04/08/25|Closed with explanation|Yes||12886132
90|11/14/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Account status incorrect|I hope you're doing well. I've run into a bit of a problem. While going through my credit report, I noticed some things that don't seem quite right, and it appears my identity have been stolen online. My nephew, who's studying XXXX XXXX, helped me out by finding a way to check if my XXXX emails were involved in this breach. To my surprise, it turns out that 2 out of 3 of my emails contain a lot of my sensitive and personal information. I want to emphasize that I'm not the one behind these accounts. It would mean a lot to me if you could assist in removing the following from my credit report. these are the accounts :|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|LA|70127||Consent provided|Web|11/14/25|Closed with explanation|Yes||17247853
91|12/25/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"I am submitting this complaint regarding inaccurate and unauthorized credit inquiries reported by XXXX XXXX on my credit report. 

XXXX XXXX is reporting multiple hard inquiries on the same dates ( including XX/XX/XXXX and XX/XX/XXXX ). I did not authorize multiple credit applications, nor did these inquiries result in separate open accounts. 

Under the Fair Credit Reporting Act ( FCRA ), credit inquiries must be supported by clear consumer authorization and a legitimate permissible purpose. XXXX XXXX has failed to provide proof of authorization for each inquiry reported. 

I am requesting that XXXX XXXX provide full verification for each inquiry, including signed authorization, application records, and evidence of permissible purpose. If they can not verify each inquiry individually, I am requesting immediate removal of the unauthorized and duplicate inquiries from all credit reporting agencies."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|FL|34221||Consent provided|Web|12/25/25|Closed with explanation|Yes||18282915
92|01/13/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I AM SUBMITTING THIS WITHOUT ANY INFLUENCE AND THIS IS NOT A THIRD PARTY. THE CREDIT BUREAUS STATED MY ACC WAS PROPERLY INVESTIGATED BUT HOW IS THAT POSSIBLE IF THE OPEN DATE IS INACCURATE, THE DATE LAST ACTIVE IS INACCURATE, AND THE DATE LAST REPORTED IS NOT ACCURATE? THIS GROUND FOR REMOVAL, THEY ALSO VIOLATED MY RIGHTS UNDER 15 U.S.C 1681 SECTION 602 A. STATES I HAVE THE RIGHT TO PRIVACY. 15 U.S.C 1681 SECTION 604 SECTION 2. IT ALSO STATES A CONSUMER REPORTING AGENCY CAN NOT FURNISH AN ACCOUNT WITHOUT MY WRITTEN INSTRUCTIONS. PLEASE SEE ATTACHED LETTERS.||EQUIFAX, INC.|AL|XXXXX||Consent provided|Web|01/13/25|Closed with explanation|Yes||11502847
93|11/19/24|Checking or savings account|Checking account|Managing an account|Deposits and withdrawals|"I deposited a check via atm on Saturday XX/XX/year> to my 5th 3rd bank account. This check was payment to me from the law offices of XXXX XXXX, in regards to a real estate sale in the ammount of {$36000.00}. This sale is public record, the law office has a phone number on the check. The bank ( 5th3rd ) is claiming to have "" confidential information '' that the check may not clear. They will not disclose this information and in my opinion that is because they have no information. The expedited funds availability act states that the XXXX  XXXX dollars be made available to me by the next business day after the business day of the deposit. It is now that day ( XXXX days into the week ) since I deposited it on a weekend. I have no funds available to me and the hold will not be released untill XX/XX/year> a full XXXX business days after the deposit was made. According to the expedited funds availability act this is a violation of my rights as a consumer. I would have gladly taken the check to XXXX of my many other bank accounts but as they tell me it has been deposited. I definitely can't tell that it has, because I have no funds accessible. If I had been a "" preferred wealth client '' this would have never happened. This check is the result of a publicly recorded real erstate transaction, it is from the trust account of a law office. They can not possibly possess ANY CREDIBLE information that it may not clear. They will not tell me what information they made there decision off of. They should have to fully answer as to the credibility of their supposed information."||FIFTH THIRD FINANCIAL CORPORATION|FL|33917||Consent provided|Web|11/19/24|Closed with explanation|Yes||10846827
94|11/28/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|I previously sent a letter to address the errors and unknown items on my credit report, but unfortunately, I have not received a response even after 30 days. It seems like my disputes are being overlooked and I feel taken advantage of. As per Section 611 ( a ), if these items are not investigated within 30 days, they should be promptly removed from my credit report. Since the deadline has passed, I expect these accounts to be updated without delay. If not, I may have to take legal action due to the stress this situation has caused me. Moreover, my information was impacted by the Equifax, Experian, and Transunion data breach, which raises concerns about the security of my personal data.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|MI|48203||Consent provided|Web|11/28/25|Closed with non-monetary relief|Yes||17571345
